leadRefId,lenderName,accountStatus,accountType,debtType,outstandingAmount,overdueAmount,delinquency,creditLimitAmount,sanctionedAmount,openDate,closedDate,lastPaymentDate,reportedDate,repaymentTenure,tenurePaid,settlementAmount,suitFiledWilfulDefault,roi
691d75b42f3a0b14f4e28f6e,ANANYA FINANCE FOR INCLUSIVE GROWTH PVT LTD,ACTIVE,UNSECURED,Microfinance – Business Loan,"6,012",,"1,385",,"10,000","Nov 19, 2021, 5:30 AM",,"Apr 6, 2022, 5:30 AM","Apr 30, 2022, 5:30 AM",0,47,,,
691d75b42f3a0b14f4e28f6e,Bajaj Finance Limited,CLOSED,UNSECURED,Consumer Loan,0,0,933,,"16,999","Jan 12, 2023, 5:30 AM","Jul 5, 2023, 5:30 AM","Jul 2, 2023, 5:30 AM","Aug 31, 2023, 5:30 AM",8,31,,,
691d75b42f3a0b14f4e28f6e,Bajaj Finance Limited,CLOSED,UNSECURED,Consumer Loan,0,0,871,,"12,499","Apr 13, 2023, 5:30 AM","Oct 13, 2023, 5:30 AM","Sep 2, 2023, 5:30 AM","Nov 30, 2023, 5:30 AM",8,28,,,
691d75b42f3a0b14f4e28f6e,Bajaj Finance Limited,ACTIVE,UNSECURED,Personal Loan,"31,012",0,5,,"71,613","Sep 19, 2023, 5:30 AM",,"Jan 15, 2026, 5:30 AM","Jan 31, 2026, 5:30 AM",39,3,,,35
691d75b42f3a0b14f4e28f6e,ANANYA FINANCE FOR INCLUSIVE GROWTH PVT LTD,ACTIVE,UNSECURED,Microfinance – Business Loan,"62,710",0,501,,"75,000","Mar 28, 2024, 5:30 AM",,"Sep 6, 2024, 5:30 AM","Sep 30, 2024, 5:30 AM",0,18,,,
691d75b42f3a0b14f4e28f6e,The Suryoday Micro-finance Private Ltd,ACTIVE,OTHERS,Business Loan – Priority Sector – Small Business,"29,246","9,886",105,,"60,000","Jul 24, 2024, 5:30 AM",,"Nov 7, 2025, 5:30 AM","Jan 31, 2026, 5:30 AM",24,3,0,,28
691d75b42f3a0b14f4e28f6e,Bajaj Finance Limited,ACTIVE,UNSECURED,Consumer Loan,"37,448",0,-11,,"74,900","Jan 4, 2025, 5:30 AM",,"Jan 31, 2026, 5:30 AM","Jan 31, 2026, 5:30 AM",24,3,,,
691d75b42f3a0b14f4e28f6e,Bandhan Bank,ACTIVE,UNSECURED,Business Loan - Unsecured,"26,343","15,992",184,,"50,000","Jun 29, 2024, 5:30 AM",,"Aug 20, 2025, 5:30 AM","Jan 31, 2026, 5:30 AM",96,3,,00,22
691d75b42f3a0b14f4e28f6e,HDB Financial Services Limited,ACTIVE,UNSECURED,Consumer Loan,"8,099","10,318",231,,"32,436","Jan 16, 2025, 5:30 AM",,"Jul 24, 2025, 5:30 AM","Jan 31, 2026, 5:30 AM",12,3,,,
685cc470186e146d7da64fea,IDFC FIRST BANK LIMITED,CLOSED,UNSECURED,Consumer Loan,0,0,"1,464",,"18,000","Dec 11, 2017, 5:30 AM","Jan 25, 2022, 5:30 AM","Jan 17, 2022, 5:30 AM","Jan 31, 2022, 5:30 AM",18,51,,00,
