_id,leadRefId,creditScore,paymentHistory,paymentHistory: onTimeCount,paymentHistory: onTimePercentage,paymentHistory: lateCount,paymentHistory: impact,paymentHistory: status,creditUtilization,creditUtilization: totalLimit,creditUtilization: utilizationPercentage,creditUtilization: onTimePercentage,creditUtilization: totalUsed,creditUtilization: impact,creditUtilization: status,creditAge,creditAge: ageLabel,creditAge: ageCount,creditAge: activeAccounts,creditAge: impact,creditAge: status,creditMix,creditMix: mixPercentage,creditMix: activeAccounts,creditMix: activeSecuredAccounts,creditMix: activeUnSecuredAccounts,creditMix: impact,creditMix: status,inquiries,inquiries: total,inquiries: creditCard,inquiries: loan,inquiries: impact,inquiries: status
692d7a7a2e9d896071687b00,692d79702e9d896071687967,805,"{""onTimeCount"":227,""onTimePercentage"":98,""lateCount"":4,""impact"":""High"",""status"":""Good""}",227,98,4,High,Good,"{""totalLimit"":2900000,""utilizationPercentage"":4,""onTimePercentage"":98,""totalUsed"":118099,""impact"":""High"",""status"":""Excellent""}","2,900,000",4,,"118,099",,,"{""ageLabel"":""7y 2m"",""ageCount"":7,""activeAccounts"":4,""impact"":""Medium"",""status"":""Good""}",7y 2m,7,4,,,"{""mixPercentage"":0,""activeAccounts"":4,""activeSecuredAccounts"":0,""activeUnSecuredAccounts"":4,""impact"":""High"",""status"":""Average""}",0,,0,4,,,"{""total"":2,""creditCard"":0,""loan"":2,""impact"":""High"",""status"":""Average""}",2,0,2,,
6931f30aa2fc153ab73e96a7,6931ee93a2fc153ab73e9557,783,"{""onTimeCount"":192,""onTimePercentage"":100,""lateCount"":0,""impact"":""High"",""status"":""Excellent""}",192,100,0,High,Excellent,"{""totalLimit"":180000,""utilizationPercentage"":35,""onTimePercentage"":100,""totalUsed"":64269,""impact"":""High"",""status"":""Good""}","180,000",35,,"64,269",,,"{""ageLabel"":""4y 0m"",""ageCount"":4,""activeAccounts"":6,""impact"":""Medium"",""status"":""Average""}",4y 0m,4,6,,,"{""mixPercentage"":0,""activeAccounts"":6,""activeSecuredAccounts"":0,""activeUnSecuredAccounts"":6,""impact"":""High"",""status"":""Average""}",0,,0,6,,,"{""total"":2,""creditCard"":0,""loan"":2,""impact"":""High"",""status"":""Average""}",2,0,2,,
6934aebfd07fd33b5efb66bf,66a4aa51037a4b187983ae36,465,"{""onTimeCount"":7,""onTimePercentage"":11,""lateCount"":56,""impact"":""High"",""status"":""Poor""}",7,11,56,High,Poor,"{""totalLimit"":0,""utilizationPercentage"":100,""onTimePercentage"":11,""totalUsed"":0,""impact"":""High"",""status"":""Poor""}",0,100,,0,,,"{""ageLabel"":""7y 2m"",""ageCount"":7,""activeAccounts"":0,""impact"":""Medium"",""status"":""Good""}",7y 2m,7,0,,,"{""mixPercentage"":0,""activeAccounts"":0,""activeSecuredAccounts"":0,""activeUnSecuredAccounts"":0,""impact"":""High"",""status"":""Average""}",0,,0,0,,,"{""total"":5,""creditCard"":0,""loan"":5,""impact"":""High"",""status"":""Good""}",5,0,5,,
6942e0465c51212cb57b7bcd,66db39dcafd4b019e5a21462,622,"{""onTimeCount"":524,""onTimePercentage"":72,""lateCount"":201,""impact"":""High"",""status"":""Poor""}",524,72,201,High,Poor,"{""totalLimit"":80000,""utilizationPercentage"":102,""onTimePercentage"":72,""totalUsed"":81882,""impact"":""High"",""status"":""Poor""}","80,000",102,,"81,882",,,"{""ageLabel"":""17y 1m"",""ageCount"":17,""activeAccounts"":22,""impact"":""Medium"",""status"":""Excellent""}",17y 1m,17,22,,,"{""mixPercentage"":72,""activeAccounts"":22,""activeSecuredAccounts"":16,""activeUnSecuredAccounts"":4,""impact"":""High"",""status"":""Excellent""}",72,,16,4,,,"{""total"":1,""creditCard"":1,""loan"":0,""impact"":""High"",""status"":""Excellent""}",1,1,0,,
694ae4dad0843b6a6575ce20,63fa70631261cc45b450efab,749,"{""onTimeCount"":1308,""onTimePercentage"":79,""lateCount"":343,""impact"":""High"",""status"":""Poor""}","1,308",79,343,High,Poor,"{""totalLimit"":50000,""utilizationPercentage"":45,""onTimePercentage"":79,""totalUsed"":22718,""impact"":""High"",""status"":""Good""}","50,000",45,,"22,718",,,"{""ageLabel"":""8y 9m"",""ageCount"":8,""activeAccounts"":21,""impact"":""Medium"",""status"":""Excellent""}",8y 9m,8,21,,,"{""mixPercentage"":4,""activeAccounts"":21,""activeSecuredAccounts"":1,""activeUnSecuredAccounts"":20,""impact"":""High"",""status"":""Average""}",4,,1,20,,,"{""total"":14,""creditCard"":1,""loan"":13,""impact"":""High"",""status"":""Poor""}",14,1,13,,
695bdf65d949ac7d991fc679,69341f81d07fd33b5efaaa96,746,"{""onTimeCount"":88,""onTimePercentage"":100,""lateCount"":0,""impact"":""High"",""status"":""Excellent""}",88,100,0,High,Excellent,"{""totalLimit"":100000,""utilizationPercentage"":78,""onTimePercentage"":100,""totalUsed"":78109,""impact"":""High"",""status"":""Average""}","100,000",78,,"78,109",,,"{""ageLabel"":""2y 10m"",""ageCount"":2,""activeAccounts"":4,""impact"":""Medium"",""status"":""Average""}",2y 10m,2,4,,,"{""mixPercentage"":0,""activeAccounts"":4,""activeSecuredAccounts"":0,""activeUnSecuredAccounts"":4,""impact"":""High"",""status"":""Average""}",0,,0,4,,,"{""total"":2,""creditCard"":1,""loan"":1,""impact"":""High"",""status"":""Average""}",2,1,1,,
695c915afbd26e573e09b7fe,64ea02bda5726b226a8e2359,656,"{""onTimeCount"":242,""onTimePercentage"":53,""lateCount"":207,""impact"":""High"",""status"":""Poor""}",242,53,207,High,Poor,"{""totalLimit"":0,""utilizationPercentage"":100,""onTimePercentage"":53,""totalUsed"":0,""impact"":""High"",""status"":""Poor""}",0,100,,0,,,"{""ageLabel"":""7y 5m"",""ageCount"":7,""activeAccounts"":6,""impact"":""Medium"",""status"":""Good""}",7y 5m,7,6,,,"{""mixPercentage"":0,""activeAccounts"":6,""activeSecuredAccounts"":0,""activeUnSecuredAccounts"":6,""impact"":""High"",""status"":""Average""}",0,,0,6,,,"{""total"":10,""creditCard"":0,""loan"":10,""impact"":""High"",""status"":""Good""}",10,0,10,,
697cfb0c7baa372de53ec69c,692d79702e9d896071687967,799,"{""onTimeCount"":234,""onTimePercentage"":98,""lateCount"":4,""impact"":""High"",""status"":""Good""}",234,98,4,High,Good,"{""totalLimit"":3000000,""utilizationPercentage"":2,""onTimePercentage"":98,""totalUsed"":82083,""impact"":""High"",""status"":""Excellent""}","3,000,000",2,,"82,083",,,"{""ageLabel"":""7y 5m"",""ageCount"":7,""activeAccounts"":5,""impact"":""Medium"",""status"":""Good""}",7y 5m,7,5,,,"{""mixPercentage"":0,""activeAccounts"":5,""activeSecuredAccounts"":0,""activeUnSecuredAccounts"":5,""impact"":""High"",""status"":""Average""}",0,,0,5,,,"{""total"":2,""creditCard"":0,""loan"":2,""impact"":""High"",""status"":""Average""}",2,0,2,,
699230377c1a5014a59e4bcf,66db39dcafd4b019e5a21462,626,"{""onTimeCount"":575,""onTimePercentage"":72,""lateCount"":213,""impact"":""High"",""status"":""Poor""}",575,72,213,High,Poor,"{""totalLimit"":80000,""utilizationPercentage"":5,""onTimePercentage"":72,""totalUsed"":4073,""impact"":""High"",""status"":""Excellent""}","80,000",5,,"4,073",,,"{""ageLabel"":""17y 3m"",""ageCount"":17,""activeAccounts"":14,""impact"":""Medium"",""status"":""Excellent""}",17y 3m,17,14,,,"{""mixPercentage"":50,""activeAccounts"":14,""activeSecuredAccounts"":7,""activeUnSecuredAccounts"":3,""impact"":""High"",""status"":""Excellent""}",50,,7,3,,,"{""total"":1,""creditCard"":1,""loan"":0,""impact"":""High"",""status"":""Excellent""}",1,1,0,,
699e6f356fd7d1249f70fd4a,67b9ab6800dfe43a97fff463,583,"{""onTimeCount"":116,""onTimePercentage"":85,""lateCount"":20,""impact"":""High"",""status"":""Poor""}",116,85,20,High,Poor,"{""totalLimit"":0,""utilizationPercentage"":100,""onTimePercentage"":85,""totalUsed"":0,""impact"":""High"",""status"":""Poor""}",0,100,,0,,,"{""ageLabel"":""3y 1m"",""ageCount"":3,""activeAccounts"":2,""impact"":""Medium"",""status"":""Average""}",3y 1m,3,2,,,"{""mixPercentage"":0,""activeAccounts"":2,""activeSecuredAccounts"":0,""activeUnSecuredAccounts"":2,""impact"":""High"",""status"":""Average""}",0,,0,2,,,"{""total"":4,""creditCard"":0,""loan"":4,""impact"":""High"",""status"":""Average""}",4,0,4,,
